"ORDC","MODELS","SERIALS","QTY","LOAD NUMBER"
"9SU","CAE28DM5TS5","RA162388","1","9SU20260107132348"
"9SU","CDT888P2VS1","HA867797","1","9SU20260107132348"
"9SU","FUF21DLRWW","HA058280","1","9SU20260107132348"
"9SU","FUF21QRRWW","TA050261","1","9SU20260107132348"
"9SU","GDE03GLKLB","MA085299-AD1","1","9SU20260107132348"
"9SU","GDE03GLKLB","MA085421-AD1","1","9SU20260107132348"
"9SU","GDE03GLKLB","MA085432-AD1","1","9SU20260107132348"
"9SU","GDE03GLKLB","MA085444-AD1","1","9SU20260107132348"
"9SU","GDT550PYRFS","SA874007","1","9SU20260107132348"
"9SU","GDT650SYVFS","VA719717","1","9SU20260107132348"
"9SU","GDT650SYVFS","VA827444","1","9SU20260107132348"
"9SU","GFD55GSSNWW","VA119539","1","9SU20260107132348"
"9SU","GFW550SSNWW","DA359937","1","9SU20260107132348"
"9SU","GGF600AVSS","TA064789","1","9SU20260107132348"
"9SU","GGF600AVSS","VA113661","1","9SU20260107132348"
"9SU","GRS500PVSS","TA164478","1","9SU20260107132348"
"9SU","GTD48EASWWB","VA511534","1","9SU20260107132348"
"9SU","GTE16DTNLWW","RA843050","1","9SU20260107132348"
"9SU","GTE16DTNRWW","RA843162","1","9SU20260107132348"
"9SU","GTW585BPVDG","TA969689","1","9SU20260107132348"
"9SU","GUD27ESSMWW","SA064265","1","9SU20260107132348"
"9SU","GUD27ESSMWW","TA084221","1","9SU20260107132348"
"9SU","GWE22JYMFS","VA375807","1","9SU20260107132348"
"9SU","GWE22JYMFS","VA375818","1","9SU20260107132348"
"9SU","GZS22DSJSS","VA429088","1","9SU20260107132348"
"9SU","HTW265ASWWW","VA200653","1","9SU20260107132348"
"9SU","HTW265ASWWW","ZA133311","1","9SU20260107132348"
"9SU","JB256DMWW","RA309547","1","9SU20260107132348"
"9SU","JBS160DMWW","VA476494","1","9SU20260107132348"
"9SU","JGP5030SLSS","VA034533","1","9SU20260107132348"
"9SU","JGP5030SLSS","VA061233","1","9SU20260107132348"
"9SU","JP3030SWSS","TA186149","1","9SU20260107132348"
"9SU","JVM3160DFBB","SA207692","1","9SU20260107132348"
"9SU","JVM3160RFSS","TA212927","1","9SU20260107132348"
"9SU","JVM6175SKSS","SA207741","1","9SU20260107132348"
"9SU","JVM6175SKSS","SA208344","1","9SU20260107132348"
"9SU","JVM7195DKBB","TA200013","1","9SU20260107132348"
"9SU","JVM7195SKSS","FA200852","1","9SU20260107132348"
"9SU","JVW5301SJSS","SA821989","1","9SU20260107132348"
"9SU","JVW5361SJSS","TA821880","1","9SU20260107132348"
"9SU","PAE28BYTFS","MA147122","1","9SU20260107132348"
"9SU","PDP715SYVFS","ZA848901","1","9SU20260107132348"
"9SU","PDT755SBVTS","VA781749","1","9SU20260107132348"
"9SU","PEP9030STSS","TA169215","1","9SU20260107132348"
"9SU","PGS960YPFS","MA378097","1","9SU20260107132348"
"9SU","PK7800SKSS","SA107161","1","9SU20260107132348"
"9SU","PSS93YPFS","LA043002","1","9SU20260107132348"
"9SU","PSS93YPFS","LA052074","1","9SU20260107132348"
"9SU","PT7800SHSS","GA119592","1","9SU20260107132348"
"9SU","PT7800SHSS","GA119594","1","9SU20260107132348"
"9SU","PT7800SHSS","VA009720","1","9SU20260107132348"
"9SU","PTD60EBPRDG","VA568268","1","9SU20260107132348"
"9SU","PTD70EBPTDG","SA567890","1","9SU20260107132348"
"9SU","PTW600BSRWS","TA951206","1","9SU20260107132348"
"9SU","PTW600BSRWS","VA912418","1","9SU20260107132348"
"9SU","PTW605BPRDG","VA151574","1","9SU20260107132348"
"9SU","PVD28BYNFS","RA525306","1","9SU20260107132348"
"9SU","PVD28BYNFS","TA516233","1","9SU20260107132348"
"9SU","VTD52EASRWB","VV557132","1","9SU20260107132348"
"9SU","ZDT925SPNSS","ZZ708564","1","9SU20260107132348"
