"Model #","Serial #","Inv Qty","Availability Status","Availability Message"
PTD60EBSRWS,AD549369,,Reserved,"Not Available"
JBS160DMBB,ZA430926,,Reserved,"Not Available"
PDT755SYVFS,VA842671,,Reserved,"Not Available"
PSS93YPFS,HA045338,,Reserved,"Not Available"
GRF600AVSS,MA020190,,Reserved,"Not Available"
GTW585BPVDG,SA198283,,Reserved,"Not Available"
GDT635HSRSS,SA798566,,Reserved,"Not Available"
GSS23GYPFS,LA466906,,Reserved,"Not Available"
GGS600AVFS,TA199442-AD1,,Reserved,"Not Available"
JB256RTSS,VA470393,,Reserved,"Not Available"
GYE22GYNFS,LA519224,,Reserved,"Not Available"
PGE29BYTFS,VA151946,,Reserved,"Not Available"
JBS160DMWW,TA477690,,Reserved,"Not Available"
JVM6175SKSS,HA202713,,Reserved,"Not Available"
GWE19JYLFS,GA332306,,Reserved,"Not Available"
GTW485ASWWB,VA112227,,Reserved,"Not Available"
CVW73612MSS,SA810166,,Reserved,"Not Available"
GZS22IYNFS,MA441602,,Reserved,"Not Available"
CVW73612MSS,SA810164,,Reserved,"Not Available"
GFP1528SNWW,,1,Reserved,"Not Available"
JGBS66REKSS,ZA351183,,Reserved,"Not Available"
JTD3000SNSS,GA111118,,Reserved,"Not Available"
CTD70DP2NS1,ZA053237,,Reserved,"Not Available"
GTD48GASWWB,TA527580,,Reserved,"Not Available"
PTS7000SNSS,RA160412,,Reserved,"Not Available"
GTW485ASWWB,TA146935,,Reserved,"Not Available"
GFW510SCVWW,VA355213,,Reserved,"Not Available"
PDT715SYVFS,ZA796488,,Reserved,"Not Available"
FUF21SMRWW,VA046151,,Reserved,"Not Available"
GGF600AVSS,TA038543,,Reserved,"Not Available"
GGF600AVWW,TA091272,,Reserved,"Not Available"
PTS9000SNSS,TA017073,,Reserved,"Not Available"
JGBS66DEKWW,TA428435,,Reserved,"Not Available"
JVX5300SJSS,TA805797,,Reserved,"Not Available"
PVD28BYNFS,GA523629,,Reserved,"Not Available"
CDD420P2TS1,DA704385,,Reserved,"Not Available"
PZS22MYKFS,HA463050,,Reserved,"Not Available"
JVM7195SKSS,SA201308,,Reserved,"Not Available"
FUF17DLRWW,LA057215,,Reserved,"Not Available"
WX9X18,,1,Reserved,"Not Available"
IM4D,,1,Reserved,"Not Available"
PFQ83HSLWWW,SA344591,,Reserved,"Not Available"
PHS930YPFS,TA073074,,Reserved,"Not Available"
PTW700BPTDG,VA135204,,Reserved,"Not Available"
GDF650SYVFS,VA729275,,Reserved,"Not Available"
GDT670SYVFS,ZA766316,,Reserved,"Not Available"
GDF550PSRSS,ZA793981,,Reserved,"Not Available"
PTD70EBPTDG,SA554723,,Reserved,"Not Available"
PTD70EBSTWS,SA550728,,Reserved,"Not Available"
PVD28BYNFS,VA507396-AD1,,Reserved,"Not Available"
PGE29BYTFS,VV140869,,Reserved,"Not Available"
PTD60EBSRWS,AD549372,,Reserved,"Not Available"
JVM3162RJSS,GA204866,,Reserved,"Not Available"
GUD24GSSMWW,VA065619,,Reserved,"Not Available"
PCWK22U1WBB,VA200784,,Reserved,"Not Available"
JGSS86SPSS,ZA375013,,Reserved,"Not Available"
GDT670SYVFS,LA782199,,Reserved,"Not Available"
JGBS66REKSS,SA426258,,Reserved,"Not Available"
GTW585BPVDG,TA182190,,Reserved,"Not Available"
GCHK07N1WBB,MA200883,,Reserved,"Not Available"
GFQ14ESSNWW,VA318874,,Reserved,"Not Available"
GSS25IYNFS,LA425788,,Reserved,"Not Available"
JAS640RMSS,VA915133,,Reserved,"Not Available"
GTS22KGNRWW,TA872851,,Reserved,"Not Available"
GDT225SSLSS,VA711872,,Reserved,"Not Available"
GTS22KGNRWW,ZA776659-AD1,,Reserved,"Not Available"
GDT225SSLSS,VA711874,,Reserved,"Not Available"
GFW655SPVDS,AA322580,,Reserved,"Not Available"
CWE23SP2MS1,SA504492,,Reserved,"Not Available"
GTS18HGNRBB,ZA773176,,Reserved,"Not Available"
GGS600AVFS,AD032120,,Reserved,"Not Available"
GGF600AVSS,VA078447,,Reserved,"Not Available"
PVM9215SKSS,TA200851,,Reserved,"Not Available"
GTS18HGNRBB,ZA773174,,Reserved,"Not Available"
PAD28BYTFS,MA137369,,Reserved,"Not Available"
PAE28BYTFS,MA139094,,Reserved,"Not Available"
RGBS330DRWW,TA352853,,Reserved,"Not Available"
GTD58EBSVWS,VA720577,,Reserved,"Not Available"
GRS500PVSS,MA146423,,Reserved,"Not Available"
PCWK22U1WBB,VA200576,,Reserved,"Not Available"
PGP9030SLSS,HA138748,,Reserved,"Not Available"
GDT630PYRFS,TA863207,,Reserved,"Not Available"
JVM7195DKWW,SA200600,,Reserved,"Not Available"
PDP715SYVFS,TA812680,,Reserved,"Not Available"
GTD48EASWWB,ZA753816,,Reserved,"Not Available"
PDT795SYVFS,VA778958,,Reserved,"Not Available"
GTD48EASWWB,ZA753818,,Reserved,"Not Available"
GUD27ESSMWW,SA031785,,Reserved,"Not Available"
GWE22JYMFS,VA393944,,Reserved,"Not Available"
JVM7195RWSS,SA202777,,Reserved,"Not Available"
JGBS66REKSS,ZA412330,,Reserved,"Not Available"
PVM9215SKSS,TA200868,,Reserved,"Not Available"
GFW550SPRRS,AA354390,,Reserved,"Not Available"
GFE28GMKES,TA520837,,Reserved,"Not Available"
DSKP333ECWW,TA594830,,Reserved,"Not Available"
JAS640RMSS,VA915125,,Reserved,"Not Available"
JVM3160DFBB,SA206132,,Reserved,"Not Available"
PVM9215SKSS,TA200861,,Reserved,"Not Available"
WX9X35,,4,Reserved,"Not Available"
ZX2127SLSS,,1,Reserved,"Not Available"
GTD48EASWWB,HA701923,,Reserved,"Not Available"
GTD58GBSVWS,TA831528,,Reserved,"Not Available"
GWE22JYMFS,SA394472,,Reserved,"Not Available"
PVM9215SKSS,TA200865,,Reserved,"Not Available"
GTS22KGNRWW,TA872824,,Reserved,"Not Available"
GWE22JYMFS,VA376120,,Reserved,"Not Available"
PTD70EBPTDG,VA553387,,Reserved,"Not Available"
CGU366P2TS1,TA902084,,Reserved,"Not Available"
GTW325ASWWW,VA107584,,Reserved,"Not Available"
GUD24ESSMWW,RA085406,,Reserved,"Not Available"
GCHK07N1WBB,MA200300,,Reserved,"Not Available"
JVX5300SJSS,TA801068,,Reserved,"Not Available"
GTW385ASWWS,VA170602,,Reserved,"Not Available"
CGE29DP2TS1,TV134864,,Reserved,"Not Available"
GTS22KYNRFS,RA850053,,Reserved,"Not Available"
GTS22KYNRFS,RA850050,,Reserved,"Not Available"
GTD58EBPVDG,RA719274,,Reserved,"Not Available"
GRS600AVFS,VA072176,,Reserved,"Not Available"
GDT635HSRSS,SA798373,,Reserved,"Not Available"
JVM3160DFWW,MA216409,,Reserved,"Not Available"
GRF400SVSS,ZA096077,,Reserved,"Not Available"
PFD87ESSVWW,MA963641,,Reserved,"Not Available"
GTW485ASWWB,VA126306,,Reserved,"Not Available"
GGF600AVSS,SA155438,,Reserved,"Not Available"
WX9X20,,1,Reserved,"Not Available"
PDT755SYVFS,TA831259,,Reserved,"Not Available"
Total,601,37,,
