"Model #","Serial #","Inv Qty","Availability Status","Availability Message"
PGE29BYTFS,RA125398,,Available,
PK7800SKSS,SA097705,,Available,
GRF500PVSS,ZA005432,,Available,
CDT858P2VS1,VA777280,,Available,
PWB7030SVSS,RA500322,,Available,
GFW550SSNWW,ZZ386912,,Available,
GDT650SYVFS,TA738851,,Reserved,"Not Available"
PVD28BYNFS,MA514995,,Reserved,"Not Available"
GNE27JYMFS,TA344944,,Available,
GSS25IYNFS,LA442678,,Reserved,"Not Available"
PFD95GSPWGN,MA177246,,Available,
GNE27JYMFS,RA381974,,Available,
GSS25GYPFS,TA461530,,Available,
PVD28BYNFS,TA521567,,Available,
GFD55ESSNWW,VA973125,,Available,
JVM3160DFWW,HZ212708,,Available,
PVD28BYNFS,LA507935,,Available,
GWE19JYLFS,RA327833,,Available,
FUF21DLRWW,SA594294,,Available,
PAD28BYTFS,RA156456,,Available,
GTD48EASWWB,TA566267,,Available,
GYE22GYNFS,LA517704,,Available,
PHD23BYWFS,RA128030,,Available,
GDT650SYVFS,MA781088,,Available,
GFE28GYNFS,SA516768-AD1,,Available,
GFW655SPVDS,DA301882,,Available,
GZS22IYNFS,MA451062,,Reserved,"Not Available"
PVD28BYNFS,AA503469,,Available,
GDT650SYVFS,VA827444,,Available,
JGBS66REKSS,RA421030,,Available,
GDT630PGRBB,SA755481,,Available,
PGE29BYTFS,SA133291,,Available,
GDP670SYVFS,TA901559,,Available,
HTW265ASWWW,ZA117713,,Available,
GFD55ESSNWW,MV957089,,Available,
PXD22BYPFS,TA504702,,Available,
PFD87GSPVRS,TA261797,,Available,
JB256DMWW,TA461235,,Available,
PTD60EBSRWS,TA563125,,Available,
CTD90DP4NW2,ZA081354,,Available,
PVD28BYNFS,VA507607,,Available,
PGB935YPFS,VA391869,,Available,
RBS330DRWW,VA456468,,Available,
RGBS330DRBB,VA360629,,Available,
ZDT925SPNSS,ZZ708564,,Available,
PVD28BYNFS,RA525306,,Available,
ZDT925SPNSS,ZZ708563,,Available,
PTW605BPRDG,VA151574,,Available,
GUD27ESSMWW,TA069872,,Available,
PVD28BYNFS,ZA506488,,Available,
PFD95GSPWDS,FA167143,,Available,
PXD22BYPFS,TA523476,,Available,
ZTS90DPSNSS,TA053065,,Available,
GGS500SVSS,VA021140,,Available,
GSS25GYPFS,TA462612,,Available,
PFD95ESPWDS,ZZ151568,,Available,
GTS22KGNRWW,VA763398,,Available,
GDT550PGRWW,MA752209,,Available,
