"ORDC","MODELS","SERIALS","QTY","LOAD NUMBER"
"9SU","CHS900P4MW2","RA383016","1","9SU20251124091532"
"9SU","GDF460PGTBB","TA855513","1","9SU20251124091532"
"9SU","GDF510PGRWW","TA815457","1","9SU20251124091532"
"9SU","GDF650SYVFS","VA708223","1","9SU20251124091532"
"9SU","GDT565HSYSS","FA837023","1","9SU20251124091532"
"9SU","GDT630PGRBB","SA755399","1","9SU20251124091532"
"9SU","GDT650SYVFS","SA848559","1","9SU20251124091532"
"9SU","GDT670SYVFS","MA910556","1","9SU20251124091532"
"9SU","GFD35ESPYDS","MA144537","1","9SU20251124091532"
"9SU","GFD55ESPRRS","TA986849","1","9SU20251124091532"
"9SU","GFE26JYMFS","RA353775","1","9SU20251124091532"
"9SU","GFW550SPRRS","GA313509","1","9SU20251124091532"
"9SU","GIE18GTNRWW","TA765349","1","9SU20251124091532"
"9SU","GNE27JYMFS","TA390581","1","9SU20251124091532"
"9SU","GNE27JYMFS","TA396420","1","9SU20251124091532"
"9SU","GRS60LAVFS","SA031448","1","9SU20251124091532"
"9SU","GRS60LAVFS","SA031454","1","9SU20251124091532"
"9SU","GSS25GYPFS","MA427549","1","9SU20251124091532"
"9SU","GSS25GYPFS","TA446245","1","9SU20251124091532"
"9SU","GTD48EASWWB","SA521459","1","9SU20251124091532"
"9SU","GTD48EASWWB","TA873644","1","9SU20251124091532"
"9SU","GTD48GASWWB","TA504400","1","9SU20251124091532"
"9SU","GTD58EBSVWS","MA724053","1","9SU20251124091532"
"9SU","GTD58EBSVWS","RA713192","1","9SU20251124091532"
"9SU","GTD58EBSVWS","TA713198","1","9SU20251124091532"
"9SU","GTE17DTNRWW","TA781525","1","9SU20251124091532"
"9SU","GTS17DTNRBB","TA743000","1","9SU20251124091532"
"9SU","GTS22KGNRWW","TA797208","1","9SU20251124091532"
"9SU","GTW485ASWWB","SA212092","1","9SU20251124091532"
"9SU","GTW485ASWWB","SA967438","1","9SU20251124091532"
"9SU","GTW485ASWWB","TA208700","1","9SU20251124091532"
"9SU","GTW538ASWWS","FA211660","1","9SU20251124091532"
"9SU","GTX33EASKWW","MA899267","1","9SU20251124091532"
"9SU","GUD24ESSMWW","MA077529","1","9SU20251124091532"
"9SU","GUD27ESPMDG","GA086702","1","9SU20251124091532"
"9SU","GUD27ESSMWW","TA039990","1","9SU20251124091532"
"9SU","GWE22JYMFS","TA390583","1","9SU20251124091532"
"9SU","GWE22JYMFS","TA390605","1","9SU20251124091532"
"9SU","GWE22JYMFS","TA390649","1","9SU20251124091532"
"9SU","HTW265ASWWW","TA201959","1","9SU20251124091532"
"9SU","HTX26EASWWW","TA756240","1","9SU20251124091532"
"9SU","JB256RTSS","SA453905","1","9SU20251124091532"
"9SU","JGBS30DEKWW","GA336822","1","9SU20251124091532"
"9SU","JGBS66REKSS","SA403253","1","9SU20251124091532"
"9SU","JGBS66REKSS","SA403321","1","9SU20251124091532"
"9SU","JVM3160RFSS","RA240661","1","9SU20251124091532"
"9SU","JVM6175SKSS","DA208725","1","9SU20251124091532"
"9SU","JVM6175SKSS","MA201437","1","9SU20251124091532"
"9SU","JVM7195SKSS","FA200735","1","9SU20251124091532"
"9SU","PFW870SPVRS","FA376593","1","9SU20251124091532"
"9SU","PHS930YPFS","TA090487","1","9SU20251124091532"
"9SU","PTD70EBPTDG","TA575137","1","9SU20251124091532"
"9SU","PTD90GBPTRS","LA805399","1","9SU20251124091532"
"9SU","PVD28BYNFS","TA521617","1","9SU20251124091532"
"9SU","UVI7361SWSS","RA800667","1","9SU20251124091532"
