"ORDC","MODELS","SERIALS","QTY","LOAD NUMBER"
"9SU","CDT858P4VW2","LA828241","1","9SU20251023142057"
"9SU","CHS950P4MW2","AA373089","1","9SU20251023142057"
"9SU","CVM521P2MS1","GA300345","1","9SU20251023142057"
"9SU","CVW93044PWM","FA806047","1","9SU20251023142057"
"9SU","CXE22DP4PW2","HA520494","1","9SU20251023142057"
"9SU","GDF535PSRSS","SA845607","1","9SU20251023142057"
"9SU","GDT550PYRFS","LA711088","1","9SU20251023142057"
"9SU","GDT670SYVFS","RA724017","1","9SU20251023142057"
"9SU","GDT670SYVFS","SA841418","1","9SU20251023142057"
"9SU","GFD65ESSVWW","MA976318","1","9SU20251023142057"
"9SU","GFQ14ESSNWW","FA354564","1","9SU20251023142057"
"9SU","GFW148SSMWW","RA300430","1","9SU20251023142057"
"9SU","GFW350SSYWW","RA313054","1","9SU20251023142057"
"9SU","GFW550SSNWW","VZ399106","1","9SU20251023142057"
"9SU","GFW655SPVDS","AA303067","1","9SU20251023142057"
"9SU","GNE27JYMFS","GA323722","1","9SU20251023142057"
"9SU","GRF600AVSS","RA074477","1","9SU20251023142057"
"9SU","GTD48EASWWB","DA750657","1","9SU20251023142057"
"9SU","GTD48EASWWB","GA751335","1","9SU20251023142057"
"9SU","GTD48EASWWB","LA557543","1","9SU20251023142057"
"9SU","GTD48GASWWB","RA503833","1","9SU20251023142057"
"9SU","GTD48GASWWB","RA823234","1","9SU20251023142057"
"9SU","GTS22KYNRFS","SA762938","1","9SU20251023142057"
"9SU","GTS22KYNRFS","SA763103","1","9SU20251023142057"
"9SU","GTW485ASWWB","LA977128","1","9SU20251023142057"
"9SU","GUD24ESSMWW","RA033641","1","9SU20251023142057"
"9SU","GUD24ESSMWW","RA085407","1","9SU20251023142057"
"9SU","GYE22GYNFS","HA517452","1","9SU20251023142057"
"9SU","JEP5030DTBB","LA026185","1","9SU20251023142057"
"9SU","JEP5030DTBB","LA060017","1","9SU20251023142057"
"9SU","JGBS10DEMBB","HA342297","1","9SU20251023142057"
"9SU","JGBS66DEKWW","RA424714","1","9SU20251023142057"
"9SU","JGBS66REKSS","LA416141","1","9SU20251023142057"
"9SU","JTS3000SNSS","RA070009","1","9SU20251023142057"
"9SU","JTS3000SNSS","RA135743","1","9SU20251023142057"
"9SU","JTS3000SNSS","SA079178","1","9SU20251023142057"
"9SU","JVM3160RFSS","FA220095","1","9SU20251023142057"
"9SU","JVM3160RFSS","HA213314","1","9SU20251023142057"
"9SU","JVM3160RFSS","VZ200537","1","9SU20251023142057"
"9SU","PDT715SYVFS","HA851009","1","9SU20251023142057"
"9SU","PFD87GSPVRS","AA973164","1","9SU20251023142057"
"9SU","PFW870SSVWW","FA332323","1","9SU20251023142057"
"9SU","PGD29BYTFS","MA136525","1","9SU20251023142057"
"9SU","PGE29BYTFS","AA133266","1","9SU20251023142057"
"9SU","PHS930YPFS","RA093766","1","9SU20251023142057"
"9SU","PHS930YPFS","RA146849","1","9SU20251023142057"
"9SU","PJE23BYWFS","LA127603","1","9SU20251023142057"
"9SU","PSS93YPFS","HA000230","1","9SU20251023142057"
"9SU","PSS93YPFS","MA107679","1","9SU20251023142057"
"9SU","PXD22BYPFS","HA501708","1","9SU20251023142057"
