"ORDC","MODELS","SERIALS","QTY","LOAD NUMBER"
"9SU","CVW73014MWM","TA810029","1","9SU20251229143039"
"9SU","FUF14QRRWW","HA047002","1","9SU20251229143039"
"9SU","FUF17DLRWW","SA052352","1","9SU20251229143039"
"9SU","GDF510PGRWW","VA725255","1","9SU20251229143039"
"9SU","GDF550PGRBB","VA799592","1","9SU20251229143039"
"9SU","GDT550PYRFS","VA700719","1","9SU20251229143039"
"9SU","GDT550PYRFS","VA820470","1","9SU20251229143039"
"9SU","GDT565HSYSS","RA743249","1","9SU20251229143039"
"9SU","GDT585HYYFS","TA780513","1","9SU20251229143039"
"9SU","GDT650SYVFS","TA738581","1","9SU20251229143039"
"9SU","GDT650SYVFS","VA729698","1","9SU20251229143039"
"9SU","GFD65ESSVWW","TA189129","1","9SU20251229143039"
"9SU","GFD65GSSVWW","TA237995","1","9SU20251229143039"
"9SU","GFW655SPVDS","DA301895","1","9SU20251229143039"
"9SU","GNE27JYMFS","VA376551","1","9SU20251229143039"
"9SU","GRF500PVSS","VA031194","1","9SU20251229143039"
"9SU","GRF500PVWW","RA059573","1","9SU20251229143039"
"9SU","GTD38EASWWS","TA898014","1","9SU20251229143039"
"9SU","GTD48EASWWB","SA516107","1","9SU20251229143039"
"9SU","GTD48EASWWB","VA511531","1","9SU20251229143039"
"9SU","GTD58EBPVDG","MA570317","1","9SU20251229143039"
"9SU","GTS17DTNRWW","TA875759","1","9SU20251229143039"
"9SU","GTS22KGNRWW","VA761107-AD1","1","9SU20251229143039"
"9SU","GTW385ASWWS","VA124509","1","9SU20251229143039"
"9SU","GTW485ASWWB","LA268267","1","9SU20251229143039"
"9SU","GTW485ASWWB","VA126237","1","9SU20251229143039"
"9SU","GTW485ASWWB","VA159010","1","9SU20251229143039"
"9SU","GTW485ASWWB","VA919613","1","9SU20251229143039"
"9SU","GTW485ASWWB","VA938044","1","9SU20251229143039"
"9SU","GTW585BPVDG","VA161349","1","9SU20251229143039"
"9SU","GTX22GASKWW","MA803573","1","9SU20251229143039"
"9SU","GUD24ESSMWW","TA080880","1","9SU20251229143039"
"9SU","GUD27ESSMWW","VA037349","1","9SU20251229143039"
"9SU","GWE19JYLFS","TA343534","1","9SU20251229143039"
"9SU","GYE21JYMFS","VA390825","1","9SU20251229143039"
"9SU","JBS86SPSS","RA043843","1","9SU20251229143039"
"9SU","JBS86SPSS","RA092385","1","9SU20251229143039"
"9SU","JGBS30DEKWW","VA416108","1","9SU20251229143039"
"9SU","JGBS66REKSS","VA400223","1","9SU20251229143039"
"9SU","JGP5030SLSS","RA035794","1","9SU20251229143039"
"9SU","JVM7195RWSS","SA204727","1","9SU20251229143039"
"9SU","PDT715SYVFS","TA791905","1","9SU20251229143039"
"9SU","PGS930YPFS","VA482260","1","9SU20251229143039"
"9SU","PTD60EBSRWS","SA565234","1","9SU20251229143039"
"9SU","PTD60EBSRWS","VA552662","1","9SU20251229143039"
"9SU","PTW600BSRWS","VA912255","1","9SU20251229143039"
"9SU","PTW600BSRWS","VA944387","1","9SU20251229143039"
"9SU","PTW605BSRWS","TA963856","1","9SU20251229143039"
"9SU","PVM9005BLTS","GA200384","1","9SU20251229143039"
"9SU","PVS06BSPSS","DA015982","1","9SU20251229143039"
"9SU","RBS160DMWW","SA445772","1","9SU20251229143039"
"9SU","RBS160DMWW","SA461233","1","9SU20251229143039"
"9SU","RGBS330DRWW","MA343456","1","9SU20251229143039"
"9SU","RGBS330DRWW","TA335680","1","9SU20251229143039"
"9SU","UVW93642PSS","TA830363","1","9SU20251229143039"
