"ORDC","MODELS","SERIALS","QTY","LOAD NUMBER"
"9SU","AJCQ12DWJ","MA012491","1","9SU20251230131324"
"9SU","CDT828P2VS1","VA790417","1","9SU20251230131324"
"9SU","FUF14DLRWW","MA051041","1","9SU20251230131324"
"9SU","GDF460PSTSS","VA832192","1","9SU20251230131324"
"9SU","GDF670SYVFS","VA836108","1","9SU20251230131324"
"9SU","GDT650SYVFS","VA818679","1","9SU20251230131324"
"9SU","GFD35ESPYDS","VA100017","1","9SU20251230131324"
"9SU","GFD65GSPVDS","SA140269","1","9SU20251230131324"
"9SU","GFE28GMKES","TA520837","1","9SU20251230131324"
"9SU","GFW350SSYWW","FA391301","1","9SU20251230131324"
"9SU","GFW550SSNWW","TA347094","1","9SU20251230131324"
"9SU","GFW655SPVDS","AA322580","1","9SU20251230131324"
"9SU","GGF600AVWW","TA091272","1","9SU20251230131324"
"9SU","GNE27JGMBB","VA325885","1","9SU20251230131324"
"9SU","GRF400SVSS","SA057647","1","9SU20251230131324"
"9SU","GRF600AVSS","RA065834","1","9SU20251230131324"
"9SU","GTD48EASWWB","TA523663","1","9SU20251230131324"
"9SU","GTD48EASWWB","TA842088","1","9SU20251230131324"
"9SU","GTD48GASWWB","TA525203","1","9SU20251230131324"
"9SU","GTD58EBPVDG","VA701750","1","9SU20251230131324"
"9SU","GTS18HYNRFS","TA874902","1","9SU20251230131324"
"9SU","GTS18HYNRFS","VA788236","1","9SU20251230131324"
"9SU","GTW385ASWWS","SA211394","1","9SU20251230131324"
"9SU","GTW485ASWWB","VA146739","1","9SU20251230131324"
"9SU","GTW538ASWWS","TA243813","1","9SU20251230131324"
"9SU","GTW585BPVDG","TA289503","1","9SU20251230131324"
"9SU","GTX38EASWWS","TA865697","1","9SU20251230131324"
"9SU","GUD24ESSMWW","VA065508","1","9SU20251230131324"
"9SU","GUD24GSSMWW","VA065619","1","9SU20251230131324"
"9SU","GUD27ESSMWW","TA036254","1","9SU20251230131324"
"9SU","GUD27ESSMWW","VA064207","1","9SU20251230131324"
"9SU","GYE22GENDS","VA505338","1","9SU20251230131324"
"9SU","HPS16BTNRWW","VA767194","1","9SU20251230131324"
"9SU","HTX26EASWWW","VA522005","1","9SU20251230131324"
"9SU","JB256DMWW","LA303380","1","9SU20251230131324"
"9SU","JB256DMWW","VA304138","1","9SU20251230131324"
"9SU","JB256RTSS","VA470393","1","9SU20251230131324"
"9SU","JGBS61RPSS","VA343115","1","9SU20251230131324"
"9SU","JGBS66DEKWW","TA428435","1","9SU20251230131324"
"9SU","JGBS66REKSS","TA423920","1","9SU20251230131324"
"9SU","JGBS66REKSS","VA418232","1","9SU20251230131324"
"9SU","JGBS86SPSS","VA379478","1","9SU20251230131324"
"9SU","JVM7195EKES","MA200273","1","9SU20251230131324"
"9SU","JVM7195SKSS","MA200069","1","9SU20251230131324"
"9SU","PAE28BYTFS","TA155042","1","9SU20251230131324"
"9SU","PDP715SYVFS","TA812680","1","9SU20251230131324"
"9SU","PGP9030SLSS","HA138748","1","9SU20251230131324"
"9SU","PTD60EBSRWS","VA551506","1","9SU20251230131324"
"9SU","PTD70EBPTDG","VA553387","1","9SU20251230131324"
"9SU","PTW600BSRWS","VA944402","1","9SU20251230131324"
"9SU","PVD28BYNFS","TA532910","1","9SU20251230131324"
"9SU","PVD28BYNFS","TA536600","1","9SU20251230131324"
"9SU","PVD28BYNFS","VA507396-AD1","1","9SU20251230131324"
"9SU","PXD22BYPFS","TA525690","1","9SU20251230131324"
"9SU","RBS330DRBB","TA448228","1","9SU20251230131324"
