"ORDC","MODELS","SERIALS","QTY","LOAD NUMBER"
"9SU","CES750P4MW2","HA377196","1","9SU20251029115523"
"9SU","CGS750P4MW2","LA374388","1","9SU20251029115523"
"9SU","FUF21DLRWW","RA045045","1","9SU20251029115523"
"9SU","GDT225SSLSS","SA700560","1","9SU20251029115523"
"9SU","GDT650SYVFS","MA781074","1","9SU20251029115523"
"9SU","GDT670SYVFS","RA850677","1","9SU20251029115523"
"9SU","GFD55ESPRRS","RA999284","1","9SU20251029115523"
"9SU","GFD65ESPVDS","RA259634","1","9SU20251029115523"
"9SU","GFE28GYNFS","RA503017","1","9SU20251029115523"
"9SU","GFE28GYNFS","SA516739-AD1","1","9SU20251029115523"
"9SU","GFW550SPRRS","TZ328210","1","9SU20251029115523"
"9SU","GFW655SPVDS","DA302583","1","9SU20251029115523"
"9SU","GNE25JYKFS","RA326954","1","9SU20251029115523"
"9SU","GNE27JYMFS","LA327727","1","9SU20251029115523"
"9SU","GNE27JYMFS","LA392618","1","9SU20251029115523"
"9SU","GNE27JYMFS","RA381991","1","9SU20251029115523"
"9SU","GSS25IYNFS","HA432958","1","9SU20251029115523"
"9SU","GSS25IYNFS","LA442370","1","9SU20251029115523"
"9SU","GTS18HYNRFS","TA735962","1","9SU20251029115523"
"9SU","GTS22KGNRWW","MA772734","1","9SU20251029115523"
"9SU","GTW325ASWWW","SA210836","1","9SU20251029115523"
"9SU","GTW325ASWWW","SA264530","1","9SU20251029115523"
"9SU","GTW485ASWWB","SA268802","1","9SU20251029115523"
"9SU","GUD24ESSMWW","RA085320","1","9SU20251029115523"
"9SU","GUD24ESSMWW","RA085402","1","9SU20251029115523"
"9SU","GWE19JYLFS","GA333246","1","9SU20251029115523"
"9SU","GYE22GYNFS","HA510943","1","9SU20251029115523"
"9SU","GZS22IYNFS","MA451656","1","9SU20251029115523"
"9SU","HTW265ASWWW","TA170207","1","9SU20251029115523"
"9SU","HTX26GASWWW","LA817359","1","9SU20251029115523"
"9SU","HTX26GASWWW","LA817373","1","9SU20251029115523"
"9SU","JB256DMWW","TA437826","1","9SU20251029115523"
"9SU","JEP5030DTBB","SA019565","1","9SU20251029115523"
"9SU","JGBS30RETSS","SA411627","1","9SU20251029115523"
"9SU","JGBS61RPSS","DA424033","1","9SU20251029115523"
"9SU","JT3800SHSS","MA067761","1","9SU20251029115523"
"9SU","JTS3000SNSS","SA079203","1","9SU20251029115523"
"9SU","JTS3000SNSS","SA079220","1","9SU20251029115523"
"9SU","JVM3160RFSS","RA212265","1","9SU20251029115523"
"9SU","PB900YVFS","SA388671","1","9SU20251029115523"
"9SU","PCST22U1WSS","AA201632","1","9SU20251029115523"
"9SU","PDT755SYVFS","HA801271","1","9SU20251029115523"
"9SU","PGE29BYTFS","LA135080","1","9SU20251029115523"
"9SU","PHP9036DTBB","LA120076","1","9SU20251029115523"
"9SU","PHS700AYFS","LA087618","1","9SU20251029115523"
"9SU","PHS930YPFS","LA026722","1","9SU20251029115523"
"9SU","PHS930YPFS","LA112710","1","9SU20251029115523"
"9SU","PTD60EBPRDG","SA550514","1","9SU20251029115523"
"9SU","PTD70GBSTWS","MA817616","1","9SU20251029115523"
"9SU","PTW600BSRWS","SA972999","1","9SU20251029115523"
"9SU","PTW605BPRDG","HA905419","1","9SU20251029115523"
"9SU","PTW605BPRDG","SA161277","1","9SU20251029115523"
"9SU","PTW700BSTWS","GA134413","1","9SU20251029115523"
"9SU","PVD28BYNFS","MA515027","1","9SU20251029115523"
"9SU","PVD28BYNFS","MA521692","1","9SU20251029115523"
"9SU","RAS240DMWW","MA915768","1","9SU20251029115523"
