"ORDC","MODELS","SERIALS","QTY","LOAD NUMBER"
"9SU","AZ91H09D5E","AS330401","1","9SU20260109095057"
"9SU","CTD90DP4NW2","ZA081354","1","9SU20260109095057"
"9SU","FCM16DLWW","RA900231","1","9SU20260109095057"
"9SU","GDF460PSTSS","TA771983","1","9SU20260109095057"
"9SU","GDF670SYVFS","VA733100","1","9SU20260109095057"
"9SU","GDT650SYVFS","SA806388","1","9SU20260109095057"
"9SU","GFD35ESPYDS","MA144437","1","9SU20260109095057"
"9SU","GFD55GSPRRS","SA169140","1","9SU20260109095057"
"9SU","GFV55ESSNWW","TA938772","1","9SU20260109095057"
"9SU","GFW350SSYWW","TA304142","1","9SU20260109095057"
"9SU","GGF600AVSS","TA082590","1","9SU20260109095057"
"9SU","GNE25JYKFS","SA316100","1","9SU20260109095057"
"9SU","GRF400SVSS","ZA058934","1","9SU20260109095057"
"9SU","GRF600AVSS","VA161979","1","9SU20260109095057"
"9SU","GSS25GYPFS","VA459414","1","9SU20260109095057"
"9SU","GTD48EASWWB","VA513318","1","9SU20260109095057"
"9SU","GTD48EASWWB","ZA510156","1","9SU20260109095057"
"9SU","GTD58EBSVWS","VA715942","1","9SU20260109095057"
"9SU","GTE16DTNLWW","RA843054","1","9SU20260109095057"
"9SU","GTS18HGNRWW","TA750692","1","9SU20260109095057"
"9SU","GTS22KGNRWW","VA763398","1","9SU20260109095057"
"9SU","GTS22KGNRWW","ZA776655-AD1","1","9SU20260109095057"
"9SU","GTS22KYNRFS","TA834695","1","9SU20260109095057"
"9SU","GTW485ASWWB","VA144968","1","9SU20260109095057"
"9SU","GTW485ASWWB","VA159498","1","9SU20260109095057"
"9SU","GTW485ASWWB","VA954501","1","9SU20260109095057"
"9SU","GTW585BPVDG","VA189361","1","9SU20260109095057"
"9SU","GTX33EASKWW","VA862154","1","9SU20260109095057"
"9SU","GTX33EASKWW","VA862198","1","9SU20260109095057"
"9SU","GTX33EASKWW","VA879334","1","9SU20260109095057"
"9SU","GUD27ESSMWW","TA039934","1","9SU20260109095057"
"9SU","GUD27ESSMWW","TA039984","1","9SU20260109095057"
"9SU","GUD27ESSMWW","TA089520","1","9SU20260109095057"
"9SU","HPS16BTNRWW","TA802246","1","9SU20260109095057"
"9SU","HTW265ASWWW","VA984483","1","9SU20260109095057"
"9SU","HTX26GASWWW","MA805033","1","9SU20260109095057"
"9SU","JGBS60REKSS","SA417108","1","9SU20260109095057"
"9SU","JGBS66REKSS","ZA391619","1","9SU20260109095057"
"9SU","JGBS66REKSS","ZA406388","1","9SU20260109095057"
"9SU","JVM3160RFSS","SA211794","1","9SU20260109095057"
"9SU","JVM3160RFSS","VA216222","1","9SU20260109095057"
"9SU","JVM3160RFSS","VA216223","1","9SU20260109095057"
"9SU","JVM3160RFSS","VA217589","1","9SU20260109095057"
"9SU","JVM3160RFSS","VA217802","1","9SU20260109095057"
"9SU","JVM3160RFSS","VA217911","1","9SU20260109095057"
"9SU","JVM3160RFSS","VA218047","1","9SU20260109095057"
"9SU","JVM7195SKSS","SA200851","1","9SU20260109095057"
"9SU","PDP715SYVFS","TA917556","1","9SU20260109095057"
"9SU","PFD87ESPVRS","TA248269","1","9SU20260109095057"
"9SU","PFW870SPVRS","FA377684","1","9SU20260109095057"
"9SU","PTD60EBSRWS","VA566033","1","9SU20260109095057"
"9SU","PTD7000SNSS","GA224990","1","9SU20260109095057"
"9SU","PTW600BSRWS","TA144237","1","9SU20260109095057"
"9SU","RGBS330DRBB","VA360629","1","9SU20260109095057"
