"ORDC","MODELS","SERIALS","QTY","LOAD NUMBER"
"9SU","CGS700P4MW2","RA927031","1","9SU20251202130716"
"9SU","CHP90361TBB","RA092705","1","9SU20251202130716"
"9SU","CYE22TP4MW2","TA518196","1","9SU20251202130716"
"9SU","FUF21DLRWW","MA061045","1","9SU20251202130716"
"9SU","GDT550PYRFS","SA787894","1","9SU20251202130716"
"9SU","GFD55GSSNWW","TA953866","1","9SU20251202130716"
"9SU","GFD65ESSVWW","TA124125","1","9SU20251202130716"
"9SU","GFE28GYNFS","GA514475","1","9SU20251202130716"
"9SU","GNE27JYMFS","GA340829","1","9SU20251202130716"
"9SU","GNE27JYMFS","RA376527","1","9SU20251202130716"
"9SU","GRF600AVSS","HA156256","1","9SU20251202130716"
"9SU","GSS25GYPFS","LA461646","1","9SU20251202130716"
"9SU","GTD48EASWWB","MA873645","1","9SU20251202130716"
"9SU","GTD48EASWWB","TA559223","1","9SU20251202130716"
"9SU","GTD58EBPVDG","LA724285","1","9SU20251202130716"
"9SU","GTS22KYNRFS","SA792081","1","9SU20251202130716"
"9SU","GTW385ASWWS","TA251738","1","9SU20251202130716"
"9SU","GTW485ASWWB","SA225930","1","9SU20251202130716"
"9SU","GTW485ASWWB","TA136368","1","9SU20251202130716"
"9SU","GTW485ASWWB","TA909472","1","9SU20251202130716"
"9SU","GTW585BSVWS","FA137552","1","9SU20251202130716"
"9SU","GUD24ESSMWW","SA066577","1","9SU20251202130716"
"9SU","GUD27ESSMWW","SA031783","1","9SU20251202130716"
"9SU","GZS22IYNFS","SA441406","1","9SU20251202130716"
"9SU","JB256DMBB","SA305625","1","9SU20251202130716"
"9SU","JBS86SPSS","MA026175","1","9SU20251202130716"
"9SU","JBS86SPSS","MA115046","1","9SU20251202130716"
"9SU","JBS86SPSS","RA110179","1","9SU20251202130716"
"9SU","JGBS66REKSS","LA421856","1","9SU20251202130716"
"9SU","JGBS66REKSS","LA421973","1","9SU20251202130716"
"9SU","JGBS66REKSS","LZ226174","1","9SU20251202130716"
"9SU","JGBS66REKSS","LZ226336","1","9SU20251202130716"
"9SU","JGBS66REKSS","SA417810","1","9SU20251202130716"
"9SU","JGBS66REKSS","TA404208","1","9SU20251202130716"
"9SU","JGBS86SPSS","SA375133","1","9SU20251202130716"
"9SU","JNM3163DJWW","MA203890","1","9SU20251202130716"
"9SU","JVM3160DFBB","MA208755","1","9SU20251202130716"
"9SU","JVM7195SKSS","DA210942","1","9SU20251202130716"
"9SU","JVM7195SKSS","FA209513","1","9SU20251202130716"
"9SU","JVW5301SJSS","RA820942","1","9SU20251202130716"
"9SU","PAD28BYTFS","RZ127881","1","9SU20251202130716"
"9SU","PFD87ESSVWW","SA142126","1","9SU20251202130716"
"9SU","PFD87GSSVWW","MA103822","1","9SU20251202130716"
"9SU","PFE28KYNFS","MA502516","1","9SU20251202130716"
"9SU","PFQ83HSLWWW","SZ323459","1","9SU20251202130716"
"9SU","PFQ97HSPVDS","LA305300","1","9SU20251202130716"
"9SU","PFQ97HSPVDS","MA316001","1","9SU20251202130716"
"9SU","PFW955SPWDS","AA342720","1","9SU20251202130716"
"9SU","PFW955SPWDS","ZZ342210","1","9SU20251202130716"
"9SU","PJE23BYWFS","RA155817","1","9SU20251202130716"
"9SU","PKD7000SNSS","SA051323","1","9SU20251202130716"
"9SU","PTD60GBSRWS","SA826148","1","9SU20251202130716"
"9SU","PTS9000SNSS","TA098258","1","9SU20251202130716"
"9SU","PVD28BYNFS","SA523655","1","9SU20251202130716"
"9SU","PVM9005SJSS","RA204031","1","9SU20251202130716"
"9SU","PVM9005SJSS","VZ202583","1","9SU20251202130716"
"9SU","PXD22BYPFS","MA505603","1","9SU20251202130716"
"9SU","PXD22BYPFS","RA529568","1","9SU20251202130716"
