"ORDC","MODELS","SERIALS","QTY","LOAD NUMBER"
"9SU","CDD420P2TS1","DA704385","1","9SU20260107133008"
"9SU","CFE28TP4MW2","TA523917","1","9SU20260107133008"
"9SU","CGS700P4MW2","VA483032","1","9SU20260107133008"
"9SU","GDT550PGRBB","VA840550","1","9SU20260107133008"
"9SU","GDT630PYRFS","TA863207","1","9SU20260107133008"
"9SU","GFE26JMMES","ZA316748","1","9SU20260107133008"
"9SU","GFT14ESSMWW","SA501034","1","9SU20260107133008"
"9SU","GGF600AVSS","SA155438","1","9SU20260107133008"
"9SU","GNE25JYKFS","TA325153","1","9SU20260107133008"
"9SU","GNE27JYMFS","TA377155","1","9SU20260107133008"
"9SU","GNE27JYMFS","TA393126","1","9SU20260107133008"
"9SU","GNE27JYMFS","VA389049","1","9SU20260107133008"
"9SU","GNE27JYMFS","VA391211","1","9SU20260107133008"
"9SU","GNE27JYMFS","VA391251","1","9SU20260107133008"
"9SU","GRF400SVWW","ZA059121","1","9SU20260107133008"
"9SU","GRF40HSVSS","VA083992","1","9SU20260107133008"
"9SU","GRF40HSVSS","ZA005994","1","9SU20260107133008"
"9SU","GRF500SVSS","ZA043332","1","9SU20260107133008"
"9SU","GTD48EASWWB","TA576018","1","9SU20260107133008"
"9SU","GTD48EASWWB","ZA507882","1","9SU20260107133008"
"9SU","GTD58EBSVWS","VA703920","1","9SU20260107133008"
"9SU","GTD58EBSVWS","ZA706385","1","9SU20260107133008"
"9SU","GTE18DTNRWW","ZA765834","1","9SU20260107133008"
"9SU","GTS22KGNRWW","ZA776659-AD1","1","9SU20260107133008"
"9SU","GTS22KYNRFS","VA784973","1","9SU20260107133008"
"9SU","GTW325ASWWW","VA107584","1","9SU20260107133008"
"9SU","GTW485ASWWB","TA995914","1","9SU20260107133008"
"9SU","GTW485ASWWB","VA126041","1","9SU20260107133008"
"9SU","GTW485ASWWB","VA126306","1","9SU20260107133008"
"9SU","GTW485ASWWB","VA184323","1","9SU20260107133008"
"9SU","GTW485ASWWB","VA904110","1","9SU20260107133008"
"9SU","GTW585BSVWS","VA149760","1","9SU20260107133008"
"9SU","GUD24ESSMWW","RA085406","1","9SU20260107133008"
"9SU","GUD27ESSMWW","TA039930","1","9SU20260107133008"
"9SU","GWE19JYLFS","GA332306","1","9SU20260107133008"
"9SU","GYE22GYNFS","LA519224","1","9SU20260107133008"
"9SU","GZS22IYNFS","MA441602","1","9SU20260107133008"
"9SU","JBS160DMBB","ZA430926","1","9SU20260107133008"
"9SU","JBS360RTSS","ZA430877","1","9SU20260107133008"
"9SU","JGBS66REKSS","TA350490","1","9SU20260107133008"
"9SU","JVM6175SKSS","SA211363","1","9SU20260107133008"
"9SU","JVM7195DKWW","SA200600","1","9SU20260107133008"
"9SU","PDT755SYVFS","VA842671","1","9SU20260107133008"
"9SU","PFD87ESPVRS","FA239826","1","9SU20260107133008"
"9SU","PFD87ESSVWW","MA963641","1","9SU20260107133008"
"9SU","PFW870SSVWW","RA326133","1","9SU20260107133008"
"9SU","PFW870SSVWW","RA326187","1","9SU20260107133008"
"9SU","PGS930YPFS","RA926502","1","9SU20260107133008"
"9SU","PGS930YPFS","RA926533","1","9SU20260107133008"
"9SU","PGS930YPFS","TA384697","1","9SU20260107133008"
"9SU","PHS930YPFS","TA117696","1","9SU20260107133008"
"9SU","PSS93YPFS","LA043204","1","9SU20260107133008"
"9SU","PTW700BPTDG","RA186911","1","9SU20260107133008"
"9SU","PTW705BPTDG","TA936521","1","9SU20260107133008"
"9SU","RGBS330DRBB","VA360652","1","9SU20260107133008"
