"ORDC","MODELS","SERIALS","QTY","LOAD NUMBER"
"9SU","CDD420P2TS1","TA717786","1","9SU20260102094233"
"9SU","CDT828P2VS1","SA810591","1","9SU20260102094233"
"9SU","CHS950P4MW2","VA376395","1","9SU20260102094233"
"9SU","CVM521P2MS1","SA300700","1","9SU20260102094233"
"9SU","CZS22MP2NS1","GA455337","1","9SU20260102094233"
"9SU","GDT550PYRFS","VA851358","1","9SU20260102094233"
"9SU","GDT550PYRFS","VA861235","1","9SU20260102094233"
"9SU","GDT650SYVFS","VA866687","1","9SU20260102094233"
"9SU","GDT670SYVFS","HA720682","1","9SU20260102094233"
"9SU","GFD55ESSNWW","VA973125","1","9SU20260102094233"
"9SU","GFD65ESSVWW","SA250060","1","9SU20260102094233"
"9SU","GFW350SPYDS","RA311878","1","9SU20260102094233"
"9SU","GFW655SPVDS","TA325532","1","9SU20260102094233"
"9SU","GFW655SSVWW","VA301880","1","9SU20260102094233"
"9SU","GGF600AVSS","SA155426","1","9SU20260102094233"
"9SU","GGS600AVES","HA098567","1","9SU20260102094233"
"9SU","GNE25JYKFS","TA330076","1","9SU20260102094233"
"9SU","GNE27JYMFS","RA393763","1","9SU20260102094233"
"9SU","GTD45EASJWS","VA505302","1","9SU20260102094233"
"9SU","GTD45EASJWS","ZA503137","1","9SU20260102094233"
"9SU","GTD58EBSVWS","VA720493","1","9SU20260102094233"
"9SU","GTW220ACWWW","ZA154916","1","9SU20260102094233"
"9SU","GTW485ASWWB","VA954507","1","9SU20260102094233"
"9SU","GTW485ASWWB","ZA128837","1","9SU20260102094233"
"9SU","GTW538ASWWS","VA997762","1","9SU20260102094233"
"9SU","GTW538ASWWS","VA997840","1","9SU20260102094233"
"9SU","GUD24ESSMWW","VA030471","1","9SU20260102094233"
"9SU","GWE19JYLFS","VA318012","1","9SU20260102094233"
"9SU","GZS22DSJSS","VA425985","1","9SU20260102094233"
"9SU","HTW265ASWWW","VA970023","1","9SU20260102094233"
"9SU","JB256DMWW","TA461235","1","9SU20260102094233"
"9SU","JB256RTSS","TA463395","1","9SU20260102094233"
"9SU","JBS360DMWW","VA464576","1","9SU20260102094233"
"9SU","JGBS86SPSS","VA379569","1","9SU20260102094233"
"9SU","JGP3030SLSS","SA108494","1","9SU20260102094233"
"9SU","JP3036DLBB","VA077764","1","9SU20260102094233"
"9SU","JVM6175DKBB","SA201386","1","9SU20260102094233"
"9SU","JVM7195FLDS","FA200299","1","9SU20260102094233"
"9SU","JVM7195SKSS","SA201002","1","9SU20260102094233"
"9SU","JVM7195SKSS","SA201010","1","9SU20260102094233"
"9SU","JVX5300EJES","SA806094","1","9SU20260102094233"
"9SU","PDT145SGLBB","RA707100","1","9SU20260102094233"
"9SU","PDT755SYVFS","ZA767079","1","9SU20260102094233"
"9SU","PFD87ESSVWW","VA139629","1","9SU20260102094233"
"9SU","PFW870SSVWW","SA319960","1","9SU20260102094233"
"9SU","PGS930YPFS","RA928265","1","9SU20260102094233"
"9SU","PGS960YPFS","MA378077","1","9SU20260102094233"
"9SU","PHS700AYFS","VA011878","1","9SU20260102094233"
"9SU","PTD70EBPTDG","TA560507","1","9SU20260102094233"
"9SU","PTW705BPTDG","TA964598","1","9SU20260102094233"
"9SU","PVD28BYNFS","ZA504597","1","9SU20260102094233"
"9SU","PVD28BYNFS","ZA506442","1","9SU20260102094233"
"9SU","RAS200DMWW","ZA912222","1","9SU20260102094233"
"9SU","UBW36YIEWSS","SA830271","1","9SU20260102094233"
