"ORDC","MODELS","SERIALS","QTY","LOAD NUMBER"
"9SU","CTC912P2NS1","FA159371","1","9SU20251203095110"
"9SU","DSKP333ECWW","TA594830","1","9SU20251203095110"
"9SU","FUF17DLRWW","LA057215","1","9SU20251203095110"
"9SU","GCE06GSHSB","MZ015189","1","9SU20251203095110"
"9SU","GDF460PSTSS","HA887525","1","9SU20251203095110"
"9SU","GDT550PGRBB","TA862516","1","9SU20251203095110"
"9SU","GDT550PYRFS","SA850975","1","9SU20251203095110"
"9SU","GDT670SGVWW","TA924700","1","9SU20251203095110"
"9SU","GDT670SYVFS","LA782199","1","9SU20251203095110"
"9SU","GNE25JYKFS","TA332114","1","9SU20251203095110"
"9SU","GRF400SVSS","TA146247","1","9SU20251203095110"
"9SU","GRF500PVSS","TA043434","1","9SU20251203095110"
"9SU","GTD38GASWWS","MA824540","1","9SU20251203095110"
"9SU","GTD48EASWWB","TA523986","1","9SU20251203095110"
"9SU","GTD58EBSVWS","MA714369","1","9SU20251203095110"
"9SU","GTD58EBSVWS","RA713175","1","9SU20251203095110"
"9SU","GTS18DTNRBB","TA853172","1","9SU20251203095110"
"9SU","GTS22KGNRWW","TA830171","1","9SU20251203095110"
"9SU","GTS22KGNRWW","TA872824","1","9SU20251203095110"
"9SU","GTW485ASWWB","TA194979","1","9SU20251203095110"
"9SU","GTW485ASWWB","TA276833","1","9SU20251203095110"
"9SU","GTW585BPVDG","SA198283","1","9SU20251203095110"
"9SU","GTW585BPVDG","TA182190","1","9SU20251203095110"
"9SU","GTX33EASKWW","TA859585","1","9SU20251203095110"
"9SU","HTX26EASWWW","TA760381","1","9SU20251203095110"
"9SU","HTX26EASWWW","VA750499","1","9SU20251203095110"
"9SU","JBS160DMBB","TA465991","1","9SU20251203095110"
"9SU","JBS160DMWW","TA477690","1","9SU20251203095110"
"9SU","JBS86SPSS","MA059601","1","9SU20251203095110"
"9SU","JGBS66REKSS","MA424861","1","9SU20251203095110"
"9SU","JGBS66REKSS","TA431301","1","9SU20251203095110"
"9SU","JGBS66REKSS","VA404704","1","9SU20251203095110"
"9SU","JT3800SHSS","MZ120487","1","9SU20251203095110"
"9SU","JTD3000SNSS","GA111118","1","9SU20251203095110"
"9SU","JVM3160DFWW","MA216409","1","9SU20251203095110"
"9SU","JVM3160RFSS","RA214411","1","9SU20251203095110"
"9SU","JVM3160RFSS","SA203701","1","9SU20251203095110"
"9SU","JVM6172SKSS","RA200478","1","9SU20251203095110"
"9SU","JVM6175SKSS","HA202713","1","9SU20251203095110"
"9SU","JVM6175SKSS","LA204629","1","9SU20251203095110"
"9SU","JVM7195RWSS","SA202777","1","9SU20251203095110"
"9SU","JVM7195SKSS","FA200765","1","9SU20251203095110"
"9SU","PAE28BYTFS","MA139094","1","9SU20251203095110"
"9SU","PDT715SYVFS","SA789817","1","9SU20251203095110"
"9SU","PFQ97HSPVDS","LZ317428","1","9SU20251203095110"
"9SU","PFW870SPVRS","FA362404","1","9SU20251203095110"
"9SU","PFW870SSVWW","FA331517","1","9SU20251203095110"
"9SU","PFW955SPWDS","ZZ313357","1","9SU20251203095110"
"9SU","PHP9030DTBB","MA097418","1","9SU20251203095110"
"9SU","PHP9030DTBB","RA081191","1","9SU20251203095110"
"9SU","PKD7000SNSS","SA143252","1","9SU20251203095110"
"9SU","PKS7000SNSS","AA057513","1","9SU20251203095110"
"9SU","PT7800SHSS","SA087441","1","9SU20251203095110"
"9SU","PTD60EBPRDG","TA563321","1","9SU20251203095110"
"9SU","PTD60EBSRWS","TA574286","1","9SU20251203095110"
"9SU","PTD70EBSTWS","SA550728","1","9SU20251203095110"
"9SU","PTS9000SNSS","TA017073","1","9SU20251203095110"
"9SU","PTS9000SNSS","ZZ111784","1","9SU20251203095110"
"9SU","PTW600BSRWS","TA203455","1","9SU20251203095110"
"9SU","PTW800BPWRS","TA172862","1","9SU20251203095110"
"9SU","PVD28BYNFS","GA523629","1","9SU20251203095110"
"9SU","PVD28BYNFS","RA523547-AD1","1","9SU20251203095110"
"9SU","PVD28BYNFS","TA516171","1","9SU20251203095110"
"9SU","PVM9005SJSS","RA205867","1","9SU20251203095110"
"9SU","PVM9179SRSS","HA200086","1","9SU20251203095110"
"9SU","PXD22BYPFS","TA523591","1","9SU20251203095110"
