"ORDC","MODELS","SERIALS","QTY","LOAD NUMBER"
"9SU","CDT858P2VS1","LA796643","1","9SU20251117095618"
"9SU","CES750P4MW2","LA376068","1","9SU20251117095618"
"9SU","CHS900P2MS1","DA383339","1","9SU20251117095618"
"9SU","CXE22DP2PS1","HA516483","1","9SU20251117095618"
"9SU","FUF14DLRWW","MA050804","1","9SU20251117095618"
"9SU","FUF21QRRWW","RA052186","1","9SU20251117095618"
"9SU","GDF535PSRSS","LA822895","1","9SU20251117095618"
"9SU","GDT650SYVFS","MA801314","1","9SU20251117095618"
"9SU","GDT650SYVFS","TA710727","1","9SU20251117095618"
"9SU","GDT650SYVFS","TA738556","1","9SU20251117095618"
"9SU","GFD55GSPRRS","SA169189","1","9SU20251117095618"
"9SU","GFD55GSPRRS","SA169197","1","9SU20251117095618"
"9SU","GFW550SPRRS","DA307510","1","9SU20251117095618"
"9SU","GGS500SVSS","SA002741","1","9SU20251117095618"
"9SU","GNE25JYKFS","MA332399","1","9SU20251117095618"
"9SU","GNE25JYKFS","SA330699","1","9SU20251117095618"
"9SU","GNE25JYKFS","SA337309","1","9SU20251117095618"
"9SU","GNE25JYKFS","TA327196","1","9SU20251117095618"
"9SU","GNE27JGMWW","SA328000","1","9SU20251117095618"
"9SU","GNE27JYMFS","RA393772","1","9SU20251117095618"
"9SU","GNE27JYMFS","SA341488","1","9SU20251117095618"
"9SU","GNE27JYMFS","TA375332","1","9SU20251117095618"
"9SU","GSS25IYNFS","HA426025","1","9SU20251117095618"
"9SU","GTD48EASWWB","HA548655","1","9SU20251117095618"
"9SU","GTD48GASWWB","RA504090","1","9SU20251117095618"
"9SU","GTS22KGNRWW","SA791310-AD1","1","9SU20251117095618"
"9SU","GTW325ASWWW","SA107262","1","9SU20251117095618"
"9SU","GTW325ASWWW","SA154851","1","9SU20251117095618"
"9SU","GTW385ASWWS","TA164296","1","9SU20251117095618"
"9SU","GTW485ASWWB","RA262758","1","9SU20251117095618"
"9SU","GTW485ASWWB","SA225923","1","9SU20251117095618"
"9SU","GTW485ASWWB","SA267315","1","9SU20251117095618"
"9SU","GTW585BSVWS","SA247494","1","9SU20251117095618"
"9SU","GUD27ESSMWW","HA038165","1","9SU20251117095618"
"9SU","GWE22JYMFS","LA383532","1","9SU20251117095618"
"9SU","GWE22JYMFS","TA375018","1","9SU20251117095618"
"9SU","GYE21JYMFS","SA383680","1","9SU20251117095618"
"9SU","JGBS66DEKWW","RA413924","1","9SU20251117095618"
"9SU","JGBS66REKSS","LA409379","1","9SU20251117095618"
"9SU","JGBS66REKSS","MA406969","1","9SU20251117095618"
"9SU","JGBS66REKSS","SA417915","1","9SU20251117095618"
"9SU","JKD5000DVBB","SA087736","1","9SU20251117095618"
"9SU","JVM7195SKSS","FA206617","1","9SU20251117095618"
"9SU","JVM7195SKSS","FA212033","1","9SU20251117095618"
"9SU","PDT715SYVFS","HZ703706","1","9SU20251117095618"
"9SU","PFD87ESPVRS","LA915380","1","9SU20251117095618"
"9SU","PFW870SPVRS","DA347552","1","9SU20251117095618"
"9SU","PGB965YPFS","SA379454","1","9SU20251117095618"
"9SU","PHS700AYFS","LA062983","1","9SU20251117095618"
"9SU","PHS700AYFS","TA057115","1","9SU20251117095618"
"9SU","PK7800SKSS","HA094268","1","9SU20251117095618"
"9SU","PTW600BSRWS","SA273105","1","9SU20251117095618"
"9SU","PVD28BYNFS","GA521834","1","9SU20251117095618"
"9SU","PVD28BYNFS","TA500672","1","9SU20251117095618"
"9SU","PXD22BYPFS","RA527771","1","9SU20251117095618"
"9SU","UVC7300SLSS","AA801107","1","9SU20251117095618"
