"ORDC","MODELS","SERIALS","QTY","LOAD NUMBER"
"9SU","CGE29DP2TS1","TV134864","1","9SU20251202131442"
"9SU","CGE29DP4TW2","MA141012","1","9SU20251202131442"
"9SU","CGS750P4MW2","SA375618","1","9SU20251202131442"
"9SU","CVM517P4RW2","FA300889","1","9SU20251202131442"
"9SU","CVM517P4RW2","SA300098","1","9SU20251202131442"
"9SU","CWE23SP2MS1","SA504492","1","9SU20251202131442"
"9SU","GDF460PGTWW","TA909808","1","9SU20251202131442"
"9SU","GDF510PGRWW","TA910690","1","9SU20251202131442"
"9SU","GDT550PGRWW","DA828417","1","9SU20251202131442"
"9SU","GDT550PGRWW","LA720491","1","9SU20251202131442"
"9SU","GDT650SYVFS","MA781062","1","9SU20251202131442"
"9SU","GFD55ESSNWW","LA180524","1","9SU20251202131442"
"9SU","GFD55GSSNWW","TA104245","1","9SU20251202131442"
"9SU","GFW350SPYDS","RA311847","1","9SU20251202131442"
"9SU","GFW550SPRRS","DA307220","1","9SU20251202131442"
"9SU","GFW550SSNWW","VZ399274","1","9SU20251202131442"
"9SU","GGF600AVSS","MA052819","1","9SU20251202131442"
"9SU","GNE25JYKFS","SA344774","1","9SU20251202131442"
"9SU","GTD48EASWWB","HA701923","1","9SU20251202131442"
"9SU","GTD48GASWWB","HA826235","1","9SU20251202131442"
"9SU","GTD58EBPVDG","LA547056","1","9SU20251202131442"
"9SU","GTD58EBSVWS","RA713188","1","9SU20251202131442"
"9SU","GTD58GBSVWS","SA825091","1","9SU20251202131442"
"9SU","GTS18HYNRFS","SA795618-AD1","1","9SU20251202131442"
"9SU","GTS22KYNRFS","RA850050","1","9SU20251202131442"
"9SU","GTW485ASWWB","LA203315","1","9SU20251202131442"
"9SU","GTW585BPVDG","SA933613","1","9SU20251202131442"
"9SU","GUD24ESSMWW","TA060034","1","9SU20251202131442"
"9SU","GUD27ESSMWW","SA031785","1","9SU20251202131442"
"9SU","GWE19JYLFS","SA327390","1","9SU20251202131442"
"9SU","GWE22JYMFS","SA394472","1","9SU20251202131442"
"9SU","GWE22JYMFS","TA375010","1","9SU20251202131442"
"9SU","JEP5030DTBB","RA044544","1","9SU20251202131442"
"9SU","JGBS66REKSS","LZ226291","1","9SU20251202131442"
"9SU","JGBS66REKSS","RA421067","1","9SU20251202131442"
"9SU","JVM7195SKSS","AA205919","1","9SU20251202131442"
"9SU","JVM7195SKSS","FA212124","1","9SU20251202131442"
"9SU","PAD28BYTFS","MA137369","1","9SU20251202131442"
"9SU","PDT755SYVFS","HA801272","1","9SU20251202131442"
"9SU","PFD87ESPVRS","LA927407","1","9SU20251202131442"
"9SU","PFW870SPVRS","RZ326429","1","9SU20251202131442"
"9SU","PHP9030DTBB","MA084968","1","9SU20251202131442"
"9SU","PHS700AYFS","SA055344","1","9SU20251202131442"
"9SU","PJE23BYWFS","RA159672","1","9SU20251202131442"
"9SU","PK7800SKSS","GA006666","1","9SU20251202131442"
"9SU","PK7800SKSS","HA006943","1","9SU20251202131442"
"9SU","PK7800SKSS","SA115547","1","9SU20251202131442"
"9SU","PK7800SKSS","SA115548","1","9SU20251202131442"
"9SU","PSS93YPFS","HA045338","1","9SU20251202131442"
"9SU","PTW605BSRWS","RA208798","1","9SU20251202131442"
"9SU","PVD28BYNFS","GA533454","1","9SU20251202131442"
"9SU","PVD28BYNFS","SA523695","1","9SU20251202131442"
"9SU","PVD28BYNFS","SA529637","1","9SU20251202131442"
"9SU","PVD28BYNFS","TA500673","1","9SU20251202131442"
"9SU","PVD28BYNFS","TA531125","1","9SU20251202131442"
"9SU","PVM9179SRSS","HA200684","1","9SU20251202131442"
"9SU","PYE22KYNFS","SA507527","1","9SU20251202131442"
