"ORDC","MODELS","SERIALS","QTY","LOAD NUMBER"
"9SU","AZ91H09D5E","AS330401","1","9SU20251218115445"
"9SU","CHP90361TBB","LA085151","1","9SU20251218115445"
"9SU","CHS950P2MS1","MA373569","1","9SU20251218115445"
"9SU","CTS90DP2NS1","VA076994","1","9SU20251218115445"
"9SU","CVW73612MSS","AA813742","1","9SU20251218115445"
"9SU","ETW485ASWWB","GA125152","1","9SU20251218115445"
"9SU","GDF460PSTSS","VA768170","1","9SU20251218115445"
"9SU","GDT535PYVFS","TA832544","1","9SU20251218115445"
"9SU","GDT550PGRWW","DA898177","1","9SU20251218115445"
"9SU","GDT650SYVFS","VA866675","1","9SU20251218115445"
"9SU","GDT670SYVFS","LA828833","1","9SU20251218115445"
"9SU","GFE26JYMFS","TA384054","1","9SU20251218115445"
"9SU","GFW148SSMWW","RA302260","1","9SU20251218115445"
"9SU","GFW655SPVDS","AA321192","1","9SU20251218115445"
"9SU","GGS500SVSS","VA021162","1","9SU20251218115445"
"9SU","GGS60LAVFS","TA128387","1","9SU20251218115445"
"9SU","GNE27JYMFS","TA325932","1","9SU20251218115445"
"9SU","GRS500PVSS","VA058369","1","9SU20251218115445"
"9SU","GRS600AVFS","VA053856","1","9SU20251218115445"
"9SU","GTD48EASWWB","TA842295","1","9SU20251218115445"
"9SU","GTD48EASWWB","TA864995","1","9SU20251218115445"
"9SU","GTD58EBSVWS","VA720490","1","9SU20251218115445"
"9SU","GTD58GBSVWS","SA823313","1","9SU20251218115445"
"9SU","GTS22KGNRWW","VA761370","1","9SU20251218115445"
"9SU","GTS22KGNRWW","VA778286","1","9SU20251218115445"
"9SU","GTW325ASWWW","SA908281","1","9SU20251218115445"
"9SU","GTW385ASWWS","TA285425","1","9SU20251218115445"
"9SU","GTW485ASWWB","SA127794","1","9SU20251218115445"
"9SU","GTW485ASWWB","TA147162","1","9SU20251218115445"
"9SU","GTW485ASWWB","VA112225","1","9SU20251218115445"
"9SU","GTW485ASWWB","VA158812","1","9SU20251218115445"
"9SU","GTW485ASWWB","VA158815","1","9SU20251218115445"
"9SU","GTW490ACJWS","TA222397","1","9SU20251218115445"
"9SU","GTX33EASKWW","SA873284","1","9SU20251218115445"
"9SU","GUD27ESSMWW","TA077261","1","9SU20251218115445"
"9SU","JGBS10DEMWW","RA345541","1","9SU20251218115445"
"9SU","JTS3000SNSS","GA206315","1","9SU20251218115445"
"9SU","JTS3000SNSS","GA224022","1","9SU20251218115445"
"9SU","JTS3000SNSS","HA016406","1","9SU20251218115445"
"9SU","JTS3000SNSS","HA034721","1","9SU20251218115445"
"9SU","JTS5000SVSS","SA097333","1","9SU20251218115445"
"9SU","JVM3160RFSS","LA230507","1","9SU20251218115445"
"9SU","JVM7195SKSS","SA202150","1","9SU20251218115445"
"9SU","JVM7195SKSS","SA206485","1","9SU20251218115445"
"9SU","PDT755SYVFS","SA800272","1","9SU20251218115445"
"9SU","PFD87ESPVRS","TA175399","1","9SU20251218115445"
"9SU","PFD87ESSVWW","TA261367","1","9SU20251218115445"
"9SU","PFQ83HSSWWW","MZ392237","1","9SU20251218115445"
"9SU","PFW870SPVRS","SA352655","1","9SU20251218115445"
"9SU","PTS7000SNSS","TA167035","1","9SU20251218115445"
"9SU","PTW600BPRDG","TA935347","1","9SU20251218115445"
"9SU","PTW600BSRWS","TA950626","1","9SU20251218115445"
"9SU","PVD28BYNFS","GA519863","1","9SU20251218115445"
"9SU","PVD28BYNFS","TA528959","1","9SU20251218115445"
"9SU","PVM9179SRSS","HA200626","1","9SU20251218115445"
"9SU","UVM9125STSS","TA200228","1","9SU20251218115445"
"9SU","UVW93642PSS","TA830919","1","9SU20251218115445"
